State	District	Market	Commodity	Variety	Grade	Arrival_Date	Min_x0020_Price	Max_x0020_Price	Modal_x0020_Price
Andhra Pradesh	Chittor	Chittoor	Gur(Jaggery)	NO 2	FAQ	07/08/2025	3400	3500	3500
Andhra Pradesh	Chittor	Madanapalli	Tomato	Other	FAQ	07/08/2025	2000	3700	3300
Andhra Pradesh	Chittor	Palamaner	Potato	(Red Nanital)	FAQ	07/08/2025	1000	2000	1500
Andhra Pradesh	Chittor	Palamaner	Tomato	Hybrid	FAQ	07/08/2025	3400	4200	3700
Andhra Pradesh	East Godavari	Ravulapelem	Banana	Bhushavali(Pacha)	Large	07/08/2025	1900	2600	2400
Andhra Pradesh	Guntur	Pidugurala(Palnadu)	Dry Chillies	Red	FAQ	07/08/2025	9500	13800	13000
Andhra Pradesh	Kurnool	Kurnool	Foxtail Millet(Navane)	Other	FAQ	07/08/2025	2770	2770	2770
Andhra Pradesh	Kurnool	Kurnool	Onion	Local	FAQ	07/08/2025	1049	1409	1409
Andhra Pradesh	Kurnool	Yemmiganur	Castor Seed	Castor seed	FAQ	07/08/2025	5412	5412	5412
Andhra Pradesh	Kurnool	Yemmiganur	Groundnut	TMV-2	FAQ	07/08/2025	2280	6650	6110
Andhra Pradesh	Nellore	Rapur	Wood	Casuarina	FAQ	07/08/2025	5600	6000	5800
Assam	Barpeta	Barpeta Road	Bhindi(Ladies Finger)	Bhindi	Local	07/08/2025	1200	1400	1300
Assam	Barpeta	Barpeta Road	Bottle gourd	Bottle Gourd	Local	07/08/2025	1133.39	1200.06	1200.06
Assam	Barpeta	Barpeta Road	Capsicum	Capsicum	Local	07/08/2025	1400	1500	1500
Assam	Barpeta	Barpeta Road	Green Chilli	Green Chilly	Local	07/08/2025	4000	5000	4800
Assam	Darrang	Balugaon	Capsicum	Capsicum	Local	07/08/2025	1200	1600	1300
Assam	Darrang	Balugaon	Pumpkin	Pumpkin	Local	07/08/2025	800	1200	1000
Assam	Goalpara	Sonari	Pumpkin	Pumpkin	Local	07/08/2025	1200	1400	1400
Assam	Golaghat	Golaghat	Bitter gourd	Bitter Gourd	Local	07/08/2025	2500	2900	2600
Assam	Golaghat	Golaghat	Pumpkin	Pumpkin	Local	07/08/2025	1100	1300	1200
Assam	Golaghat	Golaghat	Tomato	Tomato	Local	07/08/2025	2900	3000	3000
Assam	Jorhat	Jorhat	Cabbage	Cabbage	Local	07/08/2025	2000	2500	2500
Assam	Jorhat	Jorhat	Capsicum	Capsicum	Local	07/08/2025	2200	2300	2300
Assam	Kamrup	Pamohi(Garchuk)	Bhindi(Ladies Finger)	Bhindi	Local	07/08/2025	1500	1700	1600
Assam	Kokrajhar	Saraibil	Lemon	Lemon	Local	07/08/2025	667	800.4	667
Assam	Kokrajhar	Saraibil	Tomato	Tomato	Local	07/08/2025	2500	3000	2900
Assam	Lakhimpur	Kakoi Weekly Market	Capsicum	Capsicum	Local	07/08/2025	1700	2100	2000
Assam	MORIGAON	Burhagaon	Green Chilli	Green Chilly	Local	07/08/2025	5000	6000	5500
Assam	MORIGAON	Burhagaon	Tomato	Tomato	Local	07/08/2025	2000	2400	2200
Assam	Nagaon	Ambagan	Capsicum	Capsicum	Local	07/08/2025	1600	1800	1800
Assam	Nalbari	Nalbari	Brinjal	Brinjal	Local	07/08/2025	2400	3000	2600
Assam	Nalbari	Nalbari	Green Chilli	Green Chilly	Local	07/08/2025	7000	8000	7600
Assam	Sibsagar	Sonari	Bhindi(Ladies Finger)	Bhindi	Local	07/08/2025	2400	2600	2500
Assam	Sibsagar	Sonari	Capsicum	Capsicum	Local	07/08/2025	2000	2000	2000
Assam	Sonitpur	Dhekiajuli	Green Chilli	Green Chilly	Local	07/08/2025	3000	3500	3500
Assam	Sonitpur	Dhekiajuli	Tomato	Tomato	Local	07/08/2025	3000	3200	3200
Bihar	Araria	Forbesganj	Potato	Jyoti	FAQ	07/08/2025	1200	1600	1400
Chandigarh	Chandigarh	Chandigarh(Grain/Fruit)	Cucumbar(Kheera)	Other	FAQ	07/08/2025	800	2000	1500
Chattisgarh	Balrampur	Ramanujganj	Maize	Local	FAQ	07/08/2025	2230	2230	2230
Chattisgarh	Dantewada	Gidam	Paddy(Dhan)(Common)	1001	Non-FAQ	07/08/2025	1600	1800	1700
Chattisgarh	Koria	Manendragarh	Wheat	Local	Non-FAQ	07/08/2025	2400	2400	2400
Chattisgarh	Mahasamund	Basana	Paddy(Dhan)(Common)	1001	Non-FAQ	07/08/2025	1700	1700	1700
Chattisgarh	Raigarh	Baramkela	Paddy(Dhan)(Common)	1001	Non-FAQ	07/08/2025	1800	1800	1800
Chattisgarh	Raigarh	Sarangarh	Paddy(Dhan)(Common)	MTU-1010	Non-FAQ	07/08/2025	1500	1500	1500
Chattisgarh	Raipur	Raipur	Paddy(Dhan)(Common)	B P T	Non-FAQ	07/08/2025	1900	1900	1900
Chattisgarh	Raipur	Raipur	Paddy(Dhan)(Common)	MTU-1010	Non-FAQ	07/08/2025	1775	1835	1825
Chattisgarh	Rajnandgaon	Gandai	Potato	Potato	Non-FAQ	07/08/2025	1500	2000	1800
